description,clean,noised
accuracy_parse,0.9787234042553191,0.8085106382978723
accuracy_full,0.8581560283687943,0.5354609929078015
title_accuracy_parse,,
fn_accuracy_parse,0.9929078014184397,0.9078014184397163
mn_accuracy_parse,0.9813084112149533,0.8504672897196262
ln_accuracy_parse,0.9858156028368794,0.8723404255319149
suffix_accuracy_parse,0.8888888888888888,0.7222222222222222
title_accuracy_full,,
fn_accuracy_full,0.975177304964539,0.8014184397163121
mn_accuracy_full,0.8317757009345794,0.6448598130841121
ln_accuracy_full,0.9361702127659575,0.7411347517730497
suffix_accuracy_full,0.7777777777777778,0.7222222222222222
title_avg_dist_parse,,
fn_avg_dist_parse,0.028368794326241134,0.3191489361702128
mn_avg_dist_parse,0.018691588785046728,0.514018691588785
ln_avg_dist_parse,0.07092198581560284,0.44680851063829785
suffix_avg_dist_parse,0.2777777777777778,0.5555555555555556
title_avg_dist_full,,
fn_avg_dist_full,0.04609929078014184,0.4574468085106383
mn_avg_dist_full,0.205607476635514,0.8317757009345794
ln_avg_dist_full,0.13120567375886524,0.6205673758865248
suffix_avg_dist_full,0.3888888888888889,0.5
