description,clean,noised
accuracy_parse,0.9822695035460993,0.7553191489361702
accuracy_full,0.9539007092198581,0.2872340425531915
title_accuracy_parse,,
fn_accuracy_parse,0.9964539007092199,0.8865248226950354
mn_accuracy_parse,0.9906542056074766,0.822429906542056
ln_accuracy_parse,0.9822695035460993,0.8333333333333334
suffix_accuracy_parse,0.8333333333333334,0.5555555555555556
title_accuracy_full,,
fn_accuracy_full,0.9929078014184397,0.7056737588652482
mn_accuracy_full,0.9626168224299065,0.6355140186915887
ln_accuracy_full,0.9680851063829787,0.5921985815602837
suffix_accuracy_full,0.8333333333333334,0.7777777777777778
title_avg_dist_parse,,
fn_avg_dist_parse,0.02127659574468085,0.5141843971631206
mn_avg_dist_parse,0.056074766355140186,0.719626168224299
ln_avg_dist_parse,0.08865248226950355,0.7127659574468085
suffix_avg_dist_parse,0.3333333333333333,0.7222222222222222
title_avg_dist_full,,
fn_avg_dist_full,0.024822695035460994,0.7092198581560284
mn_avg_dist_full,0.12149532710280374,1.0560747663551402
ln_avg_dist_full,0.11347517730496454,1.0425531914893618
suffix_avg_dist_full,0.3333333333333333,0.4444444444444444
