description,clean,noised
accuracy_parse,0.9571984435797666,0.7937743190661478
accuracy_full,0.8249027237354085,0.28793774319066145
title_accuracy_parse,,
fn_accuracy_parse,0.9961089494163424,0.8832684824902723
mn_accuracy_parse,0.9393939393939394,0.8787878787878788
ln_accuracy_parse,0.9610894941634242,0.8521400778210116
suffix_accuracy_parse,0.8333333333333334,0.8333333333333334
title_accuracy_full,,
fn_accuracy_full,0.9571984435797666,0.669260700389105
mn_accuracy_full,0.7676767676767676,0.5858585858585859
ln_accuracy_full,0.9260700389105059,0.6108949416342413
suffix_accuracy_full,0.8333333333333334,0.8333333333333334
title_avg_dist_parse,,
fn_avg_dist_parse,0.011673151750972763,0.4785992217898833
mn_avg_dist_parse,0.18181818181818182,0.5050505050505051
ln_avg_dist_parse,0.12840466926070038,0.5408560311284046
suffix_avg_dist_parse,0.16666666666666666,0.16666666666666666
title_avg_dist_full,,
fn_avg_dist_full,0.08560311284046693,0.7782101167315175
mn_avg_dist_full,0.47474747474747475,1.0808080808080809
ln_avg_dist_full,0.20233463035019456,0.8715953307392996
suffix_avg_dist_full,0.16666666666666666,0.16666666666666666
