description,clean,noised
accuracy_parse,0.9675090252707581,0.7906137184115524
accuracy_full,0.8844765342960289,0.24187725631768953
title_accuracy_parse,,
fn_accuracy_parse,0.9783393501805054,0.8664259927797834
mn_accuracy_parse,0.9646017699115044,0.8672566371681416
ln_accuracy_parse,0.9783393501805054,0.8483754512635379
suffix_accuracy_parse,0.7142857142857143,0.8571428571428571
title_accuracy_full,,
fn_accuracy_full,0.9711191335740073,0.6498194945848376
mn_accuracy_full,0.8938053097345132,0.5486725663716814
ln_accuracy_full,0.9350180505415162,0.631768953068592
suffix_accuracy_full,0.42857142857142855,0.42857142857142855
title_avg_dist_parse,,
fn_avg_dist_parse,0.10830324909747292,0.7509025270758123
mn_avg_dist_parse,0.10619469026548672,0.5398230088495575
ln_avg_dist_parse,0.11191335740072202,0.6462093862815884
suffix_avg_dist_parse,0.5714285714285714,0.14285714285714285
title_avg_dist_full,,
fn_avg_dist_full,0.11552346570397112,0.9638989169675091
mn_avg_dist_full,0.17699115044247787,0.9380530973451328
ln_avg_dist_full,0.16606498194945848,0.9061371841155235
suffix_avg_dist_full,0.8571428571428571,0.8571428571428571
