description,clean,noised
accuracy_parse,0.9523809523809523,0.7765567765567766
accuracy_full,0.8791208791208791,0.27472527472527475
title_accuracy_parse,,
fn_accuracy_parse,0.9597069597069597,0.8571428571428571
mn_accuracy_parse,0.970873786407767,0.8252427184466019
ln_accuracy_parse,0.9560439560439561,0.8315018315018315
suffix_accuracy_parse,0.875,0.8125
title_accuracy_full,,
fn_accuracy_full,0.9267399267399268,0.6263736263736264
mn_accuracy_full,0.9320388349514563,0.6699029126213593
ln_accuracy_full,0.9377289377289377,0.6190476190476191
suffix_accuracy_full,0.6875,0.4375
title_avg_dist_parse,,
fn_avg_dist_parse,0.2271062271062271,0.6776556776556777
mn_avg_dist_parse,0.1262135922330097,0.7475728155339806
ln_avg_dist_parse,0.23809523809523808,0.6886446886446886
suffix_avg_dist_parse,0.125,0.25
title_avg_dist_full,,
fn_avg_dist_full,0.2600732600732601,0.9084249084249084
mn_avg_dist_full,0.1650485436893204,0.9514563106796117
ln_avg_dist_full,0.2564102564102564,0.9267399267399268
suffix_avg_dist_full,0.3125,0.625
