description,clean,noised
accuracy_parse,0.9494163424124513,0.7159533073929961
accuracy_full,0.9066147859922179,0.20233463035019456
title_accuracy_parse,,
fn_accuracy_parse,0.9844357976653697,0.8754863813229572
mn_accuracy_parse,0.9292929292929293,0.8080808080808081
ln_accuracy_parse,0.9571984435797666,0.7937743190661478
suffix_accuracy_parse,0.8333333333333334,0.5
title_accuracy_full,,
fn_accuracy_full,0.9727626459143969,0.6536964980544747
mn_accuracy_full,0.8787878787878788,0.5959595959595959
ln_accuracy_full,0.9416342412451362,0.5642023346303502
suffix_accuracy_full,0.8333333333333334,0.5
title_avg_dist_parse,,
fn_avg_dist_parse,0.07392996108949416,0.556420233463035
mn_avg_dist_parse,0.23232323232323232,0.8686868686868687
ln_avg_dist_parse,0.1556420233463035,0.7470817120622568
suffix_avg_dist_parse,0.16666666666666666,0.5
title_avg_dist_full,,
fn_avg_dist_full,0.09727626459143969,0.8093385214007782
mn_avg_dist_full,0.32323232323232326,1.2525252525252526
ln_avg_dist_full,0.17898832684824903,1.066147859922179
suffix_avg_dist_full,0.16666666666666666,0.8333333333333334
